title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
退出、呼吁与忠诚 : 对企业、组织和国家衰退的回应,[美]艾伯特·O.赫希曼, 格致出版社,卢昌崇, 2015-7, 133, 32.00元,世纪人文系列丛书·世纪前沿,https://book.douban.com/series/290, 9787543225329,8.8,116,https://book.douban.com/subject/26576464/
幼年与历史 : 经验的毁灭,[意大利]            吉奥乔·阿甘本, 河南大学出版社,"尹星,陈永国 校", 2016-11,,,人文科学译丛,https://book.douban.com/series/8224, 9787564925666,7.5,68,https://book.douban.com/subject/26874445/
文化与上帝之死 ,[英国]            特里·伊格尔顿, 河南大学出版社,宋政超, 2016-3, 254, 38.00,上河·文化生活译丛,https://book.douban.com/series/30617, 9787564922856,8.0,130,https://book.douban.com/subject/26694230/
导读葛兰西 ,(英)斯蒂夫·琼斯, 拜德雅丨重庆大学出版社,相明, 2014-10, 224, 28.00,思想家和思想导读丛书,https://book.douban.com/series/24603, 9787562484455,6.9,93,https://book.douban.com/subject/25928736/
新帝国主义 ,[英] 戴维•哈维, 中国人民大学出版社,"付克新 译,吴默闻 校", 2019-1, 163, 48,马克思主义研究译丛·典藏版,https://book.douban.com/series/37562, 9787300239057,8.7,12,https://book.douban.com/subject/30432232/
超越帝国 ,[意] 安东尼奥·奈格里, 北京大学出版社,"李琨,陆汉臻", 2016-4, 272, 42.00元,文化理论译丛,https://book.douban.com/series/31284, 9787301267264,7.2,38,https://book.douban.com/subject/26702894/
马尔库塞文集·第五卷 : 哲学精神分析与解放,[美]赫伯特·马尔库塞, 人民出版社,"黄晓伟,高海青", 2019-1-1,,,马尔库塞文集,https://book.douban.com/series/40782, 9787010196497,,,https://book.douban.com/subject/30295674/
哲学家和他的穷人们 ,[法]            雅克·朗西埃, 南京大学出版社,蒋海燕, 2014-9, 352, 55.00元,当代激进思想家译丛,https://book.douban.com/series/21948, 9787305138287,5.8,61,https://book.douban.com/subject/25960676/
超越民族与历史 ,（日）小森阳一                   /                （日）高桥哲哉, 南京大学出版社,, 2017, 296, 48,当代学术棱镜译丛,https://book.douban.com/series/187, 9787305166594,8.7,46,https://book.douban.com/subject/26929906/
The Rey Chow Reader ,Rey Chow                   /                Paul Bowman (Editor), Columbia University Press,, 2010-7-1, 320, USD 32.00,,, 9780231149952,7.0,16,https://book.douban.com/subject/4752533/
公共领域中的伦理学 ,[英] 约瑟夫·拉兹 Joseph Raz, 江苏人民出版社,葛四友, 2013-12, 446, 43.00元,凤凰文库·当代思想前沿系列,https://book.douban.com/series/13518, 9787214108715,8.6,12,https://book.douban.com/subject/25846044/
民族与美学 ,[日本]            柄谷行人, 西北大学出版社,薛羽, 2016-8-1, 225, CNY 49.00,精神译丛,https://book.douban.com/series/26888, 9787560439327,8.7,108,https://book.douban.com/subject/26870832/
命名和指称 : 语词与对象的关联,（美）R·J·内尔森, 上海科技教育出版社,"殷杰,尤洋", 2007-12, 275, 45.00元,山西大学科学技术哲学译丛,https://book.douban.com/series/26994, 9787542844934,,,https://book.douban.com/subject/3099926/
灵魂的家庭经济学 : 弗洛伊德五案例研究,[加]约翰·奥尼尔 著, 浙江大学出版社,孙飞宇 译, 2016-6, 320, 52,当代外国人文学术译丛,https://book.douban.com/series/11851, 9787308157957,8.5,16,https://book.douban.com/subject/26805366/
神圣人 : 至高权力与赤裸生命,[意大利]            吉奥乔·阿甘本, 三辉图书/中央编译出版社,吴冠军, 2016-7, 344, 56.00元,三辉书系：左翼前沿思想译丛,https://book.douban.com/series/34838, 9787511730411,9.0,545,https://book.douban.com/subject/26820496/
语言的圣礼 ,[意] 吉奥乔·阿甘本, 拜德雅丨重庆大学出版社,蓝江, 2016-4-30, 236, 35.00,拜德雅·人文丛书,https://book.douban.com/series/30521, 9787562490937,8.5,156,https://book.douban.com/subject/26413998/
潜能 ,[意大利]            吉奥乔·阿甘本, 漓江出版社,"王立秋,严和来", 2014-1, 488, 49.50,漓江西学·子午线译丛,https://book.douban.com/series/17665, 9787540762278,9.1,170,https://book.douban.com/subject/25798589/
歧义 : 政治与哲学,[法] 雅克·朗西埃, 西北大学出版社,"刘纪蕙,林淑芬,陈克伦,薛熙平", 2015-1, 249, 42.00元,精神译丛,https://book.douban.com/series/26888, 9787560435671,8.9,82,https://book.douban.com/subject/26256875/
万物的签名 : 论方法,[意大利]            吉奥乔·阿甘本, 三辉图书/中央编译出版社,尉光吉, 2017-3, 200, 38.00元,三辉书系：左翼前沿思想译丛,https://book.douban.com/series/34838, 9787511731203,9.2,122,https://book.douban.com/subject/26970610/
对民主之恨 ,[法]            雅克·朗西埃, 三辉图书 / 中央编译出版社,李磊, 2016-7, 188, 38.00元,三辉书系：左翼前沿思想译丛,https://book.douban.com/series/34838, 9787511730183,8.1,249,https://book.douban.com/subject/26821267/
论友爱 ,[意大利]            吉奥乔·阿甘本, 北京大学出版社,"刘耀辉,尉光吉", 2017-3, 184, 36.00元,文化理论译丛,https://book.douban.com/series/31284, 9787301275610,8.2,214,https://book.douban.com/subject/26942700/
裸体 ,(意) 吉奥乔·阿甘本, 北京大学出版社,黄晓武, 2017-2-28, 264, CNY 48.00,文化理论译丛,https://book.douban.com/series/31284, 9787301272374,8.7,232,https://book.douban.com/subject/26823228/
渎神 ,吉奥乔·阿甘本, 北京大学出版社,王立秋, 2017-2, 168, CNY 35.00,文化理论译丛,https://book.douban.com/series/31284, 9787301277959,8.5,257,https://book.douban.com/subject/26942703/
偶像的黄昏 : 如何用锤子哲思,[德]弗里德里希·尼采,,卫茂平,, 174, 58,尼采著作集,https://book.douban.com/series/34541, 9787208163058,8.7,11,https://book.douban.com/subject/34969950/
瓦格纳事件 : 尼采反瓦格纳,[德]弗里德里希·尼采, 上海人民出版社,卫茂平,, 137, 48,尼采著作集,https://book.douban.com/series/34541, 9787208163041,,,https://book.douban.com/subject/34971149/
我，里维耶，杀害了我的母亲、妹妹和弟弟 : 19世纪的一桩弑亲案,[法]米歇尔 ·福柯（Michel Foucault）, 上海人民出版社,王辉, 2021-4-1, 428, 58.00,思想剧场,https://book.douban.com/series/42977, 9787208169449,,,https://book.douban.com/subject/35355977/
