title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
隐匿的疆土 : 卫所制度与明帝国,顾诚, 光明日报出版社,, 2012-10, 272, 35.00元,顾诚著作系列,https://book.douban.com/series/9005, 9787511231482,8.2,225,https://book.douban.com/subject/19967941/
明史讲义 ,孟森, 中华书局,, 2006-4, 397, 28.00元,孟森著作集,https://book.douban.com/series/2093, 9787101050318,8.9,907,https://book.douban.com/subject/1825043/
天国之秋 ,[美] 裴士锋, 社会科学文献出版社,黄中宪、谭伯牛 校, 2014-11-10, 580, 69.00元,甲骨文丛书,https://book.douban.com/series/23971, 9787509752647,8.6,5383,https://book.douban.com/subject/25938605/
洪业 : 清朝开国史,[美国]            魏斐德, 江苏人民出版社,"陈苏镇,薄小莹", 1992, 1100, 14.90元,海外中国研究丛书,https://book.douban.com/series/22, 9787214009234,8.7,1254,https://book.douban.com/subject/1132689/
历史三调 : 作为事件、经历和神话的义和团（典藏版）,[美国]            柯文, 社会科学文献出版社,杜继东, 2015-8-1, 572, 59.00,,, 9787509776223,9.3,1582,https://book.douban.com/subject/26427101/
党员、党权与党争 : 1924—1949年中国国民党的组织形态,王奇生, 华文出版社,, 2010-12, 448, 48.00元,,, 9787507533026,9.2,2545,https://book.douban.com/subject/5372471/
联合政府与一党训政 : 1944～1946年间国共政争,邓野, 社会科学文献出版社,, 2011-11, 519, 58.00元,汉唐阳光人文图书,https://book.douban.com/series/17556, 9787509727843,9.3,1262,https://book.douban.com/subject/6895949/
中国现代国家的起源 ,[美] 孔飞力, 生活·读书·新知三联书店,"陈兼,陈之宏", 2013-10, 150, 35.00元,孔飞力著作集,https://book.douban.com/series/20863, 9787108045775,8.7,3265,https://book.douban.com/subject/25750468/
明朝那些事儿（壹） : 洪武大帝,当年明月, 中国友谊出版公司,, 2006-9, 298, 24.80,明朝那些事儿,https://book.douban.com/series/613, 9787505722460,8.7,184407,https://book.douban.com/subject/1873231/
赫逊河畔谈中国历史 ,黄仁宇, 生活·读书·新知三联书店,, 1997-4, 215, 9.60,黄仁宇作品系列,https://book.douban.com/series/771, 9787108004499,8.1,6138,https://book.douban.com/subject/1050175/
菊与刀 : 日本文化的类型,[美国]            鲁思·本尼迪克特, 商务印书馆,"吕万和,熊达云,王智新", 1990-6, 218, 16.00,日本丛书,https://book.douban.com/series/2281, 9787100012935,8.2,61025,https://book.douban.com/subject/1022238/
國學概論 ,钱穆, 商务印书馆,, 1997-07-01, 365, 20.00,钱穆学术著作,https://book.douban.com/series/8726, 9787100021999,8.8,1065,https://book.douban.com/subject/1034653/
中国历史研究法 ,钱穆, 生活·读书·新知三联书店,, 2005-3, 146, 11.50,钱穆作品系列（三联2001版）,https://book.douban.com/series/914, 9787108015297,8.4,2051,https://book.douban.com/subject/1022938/
中国文化史导论 ,钱穆, 商务印书馆,, 2003-02, 261, 14.00元,钱穆学术著作,https://book.douban.com/series/8726, 9787100016599,8.9,1272,https://book.douban.com/subject/1030526/
資治通鑑（全二十冊） ,[宋] 司馬光 編著                   /                [元] 胡三省 音注, 中華書局,標點資治通鑒小組 校點, 1956-6, 9612, 332.00元,,, 9787101001839,9.4,3949,https://book.douban.com/subject/1072295/
放宽历史的视界 ,[美国]            黄仁宇, 生活·读书·新知三联书店,, 2007-2, 325, 19.00,黄仁宇作品系列,https://book.douban.com/series/771, 9787108014696,7.9,1407,https://book.douban.com/subject/1025137/
资本主义与二十一世纪 ,[美国]            黄仁宇, 生活·读书·新知三联书店,, 2006-11, 645, 32.00元,黄仁宇作品系列,https://book.douban.com/series/771, 9787108009159,8.1,2366,https://book.douban.com/subject/1047001/
黄河青山 : 黄仁宇回忆录,[美国]            黄仁宇, 生活·读书·新知三联书店,张逸安, 2007-2, 583, 32.00元,黄仁宇作品系列,https://book.douban.com/series/771, 9787108015419,8.4,3776,https://book.douban.com/subject/1051231/
大历史不会萎缩 ,（美）黄仁宇, 广西师范大学出版社,, 2011-6, 318, 39.80元,理想国 人文精选,https://book.douban.com/series/9757, 9787563345090,7.9,1351,https://book.douban.com/subject/1052932/
关系千万重 ,[美国]            黄仁宇, 生活·读书·新知三联书店,, 2007-04, 215, 15.00,黄仁宇作品系列,https://book.douban.com/series/771, 9787108014580,7.7,1311,https://book.douban.com/subject/1033007/
地北天南叙古今 ,[美国]            黄仁宇, 生活·读书·新知三联书店,, 2001-1, 260, 15.00元,黄仁宇作品系列,https://book.douban.com/series/771, 9787108014573,7.7,1046,https://book.douban.com/subject/1033811/
李光耀观天下 ,李光耀, 北京大学出版社,, 2015-6, 299, 58.00元,,, 9787301257517,9.2,5627,https://book.douban.com/subject/26413154/
蒋介石与现代中国 ,[美] 陶涵, 中信出版社,林添贵, 2012-8, 568, 68.00元,,, 9787508633336,8.6,4999,https://book.douban.com/subject/10797092/
巨流河 ,齐邦媛, 生活·读书·新知三联书店,, 2010-10, 398, 39.00元,,, 9787108034731,8.7,27023,https://book.douban.com/subject/4842446/
筚路维艰 : 中国社会主义路径的五次选择,萧冬连, 社会科学文献出版社,, 2014-10-1, 246, CNY 45.00,,, 9787509763247,9.5,1454,https://book.douban.com/subject/26171466/
全球通史 : 从史前史到21世纪,(美) 斯塔夫里阿诺斯, 北京大学出版社,"吴象婴,梁赤民,董书慧,王昶", 2012-2-1, 833, 168.00元,,, 9787301204689,9.1,14986,https://book.douban.com/subject/10583099/
李宗仁回忆录（上下） ,李宗仁 口述          /                        [美国]            唐德刚, 广西师范大学出版社,, 2005-12, 850, 68.00元,唐德刚作品集,https://book.douban.com/series/1985, 9787563357574,8.4,1944,https://book.douban.com/subject/1450065/
中国近代史 ,蒋廷黻, 上海古籍出版社,, 2001-12, 93, 8.80元,蓬莱阁丛书,https://book.douban.com/series/48, 9787532526611,8.8,5975,https://book.douban.com/subject/1060025/
