title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
企业、市场与法律 ,[英国]            罗纳德·哈里·科斯, 格致出版社，上海三联书店，上海人民出版社,"盛洪,陈郁", 2009-06-01,205, 25.00元,当代经济学系列丛书,https://book.douban.com/series/181,9.79E+12,9,326,https://book.douban.com/subject/3825687/
八次危机 : 中国的真实经验,温铁军 等, 东方出版社,, 2013-1-1,300, 55.00元,,,9.79E+12,8.9,3398,https://book.douban.com/subject/20394150/
当代中国政府与政治 ,景跃进                   /                        陈明明                   /                        肖滨, 中国人民大学出版社,, 2016-1,279, 36.00元,新编21世纪公共管理系列教材,https://book.douban.com/series/36681,9.79E+12,8.9,1165,https://book.douban.com/subject/26665157/
大衰退：宏观经济学的圣杯 : 宏观经济学的圣杯,[美]辜朝明, 东方出版社,喻海翔, 2016-12-1,379, 45.00元,,,9.79E+12,8.9,289,https://book.douban.com/subject/26922908/
货币、银行信贷与经济周期 ,[西]            赫苏斯·韦尔塔·德索托, 上海财经大学出版社,秦传安, 2016-10,,118,奥地利学派经济学经典译丛,https://book.douban.com/series/30565,9.79E+12,8.9,63,https://book.douban.com/subject/26920326/
经济增长 ,[美] 罗伯特·J.巴罗                   /                        [美] 夏威尔·萨拉-伊-马丁, 格致出版社/上海三联书店/上海人民出版社,夏俊, 2010-11,513, 58.00元,当代经济学系列丛书,https://book.douban.com/series/181,9.79E+12,8.9,42,https://book.douban.com/subject/5385687/
经济发展理论 ,[美国] 约瑟夫·熊彼特, 华夏出版社,"郭武军,吕阳", 2015-1-1,231,38,,,9.79E+12,8.9,25,https://book.douban.com/subject/26331088/
产权与制度变迁 : 中国改革的经验研究,周其仁, 北京大学出版社,, 2004-09-01,305, 30.00元,北京大学中国经济研究中心研究系列,https://book.douban.com/series/10579,9.79E+12,8.9,355,https://book.douban.com/subject/1188729/
权力与特权 : 社会分层的理论,[美国]            格尔哈特·伦斯基, 社会科学文献出版社,"关信平,陈宗显,谢晋宇", 2018-1,656,92,甲骨文丛书,https://book.douban.com/series/23971,9.79E+12,8.9,561,https://book.douban.com/subject/27101663/
红色资本 : 中国的非凡崛起与脆弱的金融基础,卡尔•沃尔特 CARL E. WALTER                   /                        弗雷泽•豪伊 FRASER J. HOWIE, 东方出版中心,"祝捷,劉駿", 2013-8-1,270, 38.00元,,,9.79E+12,8.8,1830,https://book.douban.com/subject/25717107/
中国为什么有前途（第3版） : 对外经济关系的战略潜能,翟东升, 机械工业出版社,, 2019-6-1,335, 59.00元,,,9.79E+12,8.8,514,https://book.douban.com/subject/34441120/
解构现代化 : 温铁军演讲录,温铁军, 东方出版社,, 2020-8-1,340, 65.00元,,,9.79E+12,8.8,184,https://book.douban.com/subject/35152366/
国家的财政危机 ,[美] 詹姆斯·奥康纳, 上海财经大学出版社,沈国华, 2017-9-22,256, 49.00元,财政政治学译丛,https://book.douban.com/series/40646,9.79E+12,8.8,13,https://book.douban.com/subject/27667452/
